newID	cam	cvatID	video
1	LC_ID	331	42
1	RC_ID	339	42
2	LC_ID	342	42
2	RC_ID	341	42
3	LC_ID	332	42
3	RC_ID	337	42
4	LC_ID	329	42
4	RC_ID	340	42
5	LC_ID	327	42
5	RC_ID	335	42
6	LC_ID	326	42
6	RC_ID	336	42
7	LC_ID	333	42
7	RC_ID	338	42
1	LC_ID	351	43
1	RC_ID	356	43
2	LC_ID	349	43
2	RC_ID	355	43
3	LC_ID	348	43
3	RC_ID	354	43
4	LC_ID	350	43
4	RC_ID	357	43
5	LC_ID	347	43
5	RC_ID	353	43
6	LC_ID	346	43
6	RC_ID	359	43
7	LC_ID	345	43
7	RC_ID	358	43
8	LC_ID	352	43
8	RC_ID	360	43
1	LC_ID	387	48
1	RC_ID	395	48
2	LC_ID	390	48
2	RC_ID	396	48
3	LC_ID	388	48
3	RC_ID	397	48
4	LC_ID	385	48
4	RC_ID	393	48
5	LC_ID	389	48
5	RC_ID	398	48
6	LC_ID	392	48
6	RC_ID	401	48
7	LC_ID	391	48
7	RC_ID	400	48
8	LC_ID	386	48
8	RC_ID	394	48
9	RC_ID	399	48
1	LC_ID	423	54
1	RC_ID	427	54
2	LC_ID	425	54
2	RC_ID	431	54
3	LC_ID	422	54
3	RC_ID	428	54
4	LC_ID	426	54
4	RC_ID	430	54
5	LC_ID	433	54
5	RC_ID	432	54
6	LC_ID	424	54
6	RC_ID	429	54
1	LC_ID	438	58
1	RC_ID	446	58
2	LC_ID	435	58
2	RC_ID	444	58
3	LC_ID	436	58
3	RC_ID	447	58
4	LC_ID	443	58
4	RC_ID	451	58
5	LC_ID	434	58
5	RC_ID	448	58
6	LC_ID	440	58
6	RC_ID	452	58
7	LC_ID	437	58
7	RC_ID	445	58
8	LC_ID	442	58
8	RC_ID	449	58
1	LC_ID	470	61
1	RC_ID	478	61
2	LC_ID	474	61
2	RC_ID	482	61
3	LC_ID	472	61
3	RC_ID	481	61
4	LC_ID	475	61
4	RC_ID	483	61
5	LC_ID	476	61
5	RC_ID	484	61
6	LC_ID	471	61
6	RC_ID	479	61
7	LC_ID	473	61
7	RC_ID	480	61
1	LC_ID	487	62
1	RC_ID	493	62
3	LC_ID	485	62
3	RC_ID	492	62
4	LC_ID	489	62
4	RC_ID	495	62
5	LC_ID	486	62
5	RC_ID	494	62
6	LC_ID	490	62
6	RC_ID	496	62
7	LC_ID	491	62
7	RC_ID	498	62
1	LC_ID	564	116
1	RC_ID	577	116
2	LC_ID	572	116
2	RC_ID	588	116
3	LC_ID	571	116
3	RC_ID	585	116
4	LC_ID	575	116
5	LC_ID	574	116
5	RC_ID	587	116
6	LC_ID	567	116
6	RC_ID	578	116
7	LC_ID	566	116
7	RC_ID	579	116
8	LC_ID	563	116
8	RC_ID	586	116
9	LC_ID	565	116
9	RC_ID	580	116
10	LC_ID	570	116
10	RC_ID	584	116
1	LC_ID	3703	122
1	RC_ID	3715	122
2	LC_ID	3701	122
2	RC_ID	3713	122
3	LC_ID	3711	122
3	RC_ID	3718	122
4	LC_ID	3706	122
4	RC_ID	3720	122
5	LC_ID	3700	122
5	RC_ID	3712	122
6	LC_ID	3710	122
6	RC_ID	3716	122
7	LC_ID	3708	122
7	RC_ID	3717	122
8	LC_ID	3702	122
8	RC_ID	3714	122
9	LC_ID	3705	122
9	RC_ID	3719	122
10	LC_ID	3707	122
10	RC_ID	3721	122
11	LC_ID	3726	122
11	RC_ID	3727	122
1	LC_ID	627	134
1	RC_ID	641	134
2	LC_ID	629	134
2	RC_ID	639	134
3	LC_ID	617	134
3	RC_ID	633	134
4	LC_ID	618	134
4	RC_ID	634	134
5	LC_ID	626	134
5	RC_ID	644	134
6	LC_ID	620	134
6	RC_ID	640	134
7	LC_ID	624	134
7	RC_ID	643	134
8	LC_ID	622	134
8	RC_ID	638	134
9	LC_ID	619	134
9	RC_ID	632	134
10	LC_ID	623	134
10	RC_ID	645	134
11	LC_ID	625	134
11	RC_ID	636	134
12	LC_ID	628	134
12	RC_ID	637	134
13	LC_ID	616	134
13	RC_ID	631	134
14	LC_ID	621	134
14	RC_ID	635	134
1	LC_ID	3734	143
1	RC_ID	3744	143
2	LC_ID	3741	143
2	RC_ID	3758	143
3	LC_ID	3737	143
3	RC_ID	3747	143
4	LC_ID	3736	143
4	RC_ID	3753	143
5	LC_ID	3735	143
5	RC_ID	3752	143
6	LC_ID	3730	143
6	RC_ID	3755	143
7	LC_ID	3732	143
7	RC_ID	3748	143
8	LC_ID	3739	143
8	RC_ID	3757	143
9	LC_ID	3738	143
9	RC_ID	3745	143
10	LC_ID	3729	143
10	RC_ID	3750	143
11	LC_ID	3728	143
11	RC_ID	3749	143
12	LC_ID	3731	143
12	RC_ID	3754	143
13	LC_ID	3733	143
13	RC_ID	3746	143
14	LC_ID	3740	143
14	RC_ID	3759	143
1	LC_ID	3603	168
1	RC_ID	3620	168
2	LC_ID	3609	168
2	RC_ID	3616	168
3	LC_ID	3605	168
3	RC_ID	3617	168
4	LC_ID	3608	168
4	RC_ID	3615	168
5	LC_ID	3606	168
5	RC_ID	3626	168
6	LC_ID	3602	168
6	RC_ID	3618	168
7	LC_ID	3604	168
7	RC_ID	3624	168
8	LC_ID	3610	168
8	RC_ID	3623	168
9	LC_ID	3613	168
9	RC_ID	3627	168
10	LC_ID	3607	168
11	LC_ID	3601	168
11	RC_ID	3619	168
12	LC_ID	3611	168
12	RC_ID	3621	168
13	LC_ID	3612	168
13	RC_ID	3622	168
14	LC_ID	3614	168
14	RC_ID	3625	168
1	LC_ID	656	175
1	RC_ID	658	175
2	LC_ID	669	175
2	RC_ID	670	175
3	LC_ID	652	175
3	RC_ID	662	175
4	LC_ID	654	175
4	RC_ID	660	175
5	LC_ID	650	175
5	RC_ID	671	175
6	LC_ID	648	175
6	RC_ID	666	175
7	LC_ID	651	175
7	RC_ID	663	175
8	LC_ID	649	175
8	RC_ID	664	175
9	LC_ID	655	175
9	RC_ID	659	175
10	LC_ID	647	175
10	RC_ID	665	175
1	LC_ID	715	183
1	RC_ID	738	183
2	LC_ID	716	183
2	RC_ID	735	183
3	LC_ID	699	183
3	RC_ID	732	183
4	LC_ID	698	183
4	RC_ID	724	183
5	LC_ID	701	183
5	RC_ID	733	183
6	LC_ID	697	183
6	RC_ID	723	183
7	LC_ID	693	183
7	RC_ID	720	183
8	LC_ID	696	183
8	RC_ID	722	183
9	LC_ID	695	183
9	RC_ID	718	183
10	LC_ID	714	183
10	RC_ID	730	183
11	LC_ID	706	183
11	RC_ID	721	183
12	LC_ID	705	183
